repository,stratum,method,k,recall_macro,recall_num,recall_den,precision_macro,precision_defined,fraction_mean,coverage,abstention,mrr,mean_list_len,positive,new_test_only,zero_test_touch,suite_mean
kornia/kornia,Python,HMAX,3,0.3404,41,195,0.2569,72,0.0088,0.8571,0.1429,0.3904,9.7857,84,17,99,261.1000
kornia/kornia,Python,HMAX,5,0.3862,48,195,0.2227,72,0.0133,0.8571,0.1429,0.3904,9.7857,84,17,99,261.1000
kornia/kornia,Python,HMAX,10,0.4645,59,195,0.2029,72,0.0214,0.8571,0.1429,0.3904,9.7857,84,17,99,261.1000
kornia/kornia,Python,B0,1,0.0442,7,195,0.0833,84,0.0038,1.0000,0.0000,0.1801,191.6786,84,17,99,261.1000
kornia/kornia,Python,B0,3,0.1572,22,195,0.0873,84,0.0115,1.0000,0.0000,0.1801,191.6786,84,17,99,261.1000
kornia/kornia,Python,B0,5,0.1646,25,195,0.0595,84,0.0192,1.0000,0.0000,0.1801,191.6786,84,17,99,261.1000
kornia/kornia,Python,B0,10,0.1896,30,195,0.0357,84,0.0385,1.0000,0.0000,0.1801,191.6786,84,17,99,261.1000
kornia/kornia,Python,B1,1,0.3691,35,195,0.4321,81,0.0037,0.9643,0.0357,0.4914,5.8571,84,17,99,261.1000
kornia/kornia,Python,B1,3,0.4801,52,195,0.3971,81,0.0084,0.9643,0.0357,0.4914,5.8571,84,17,99,261.1000
kornia/kornia,Python,B1,5,0.4909,57,195,0.3790,81,0.0117,0.9643,0.0357,0.4914,5.8571,84,17,99,261.1000
kornia/kornia,Python,B1,10,0.5606,68,195,0.3766,81,0.0176,0.9643,0.0357,0.4914,5.8571,84,17,99,261.1000
remult/remult,TypeScript,H,1,0.4582,36,108,0.5373,67,0.0074,0.9853,0.0147,0.6152,37.8382,68,6,126,132.6850
remult/remult,TypeScript,H,3,0.5520,47,108,0.2886,67,0.0205,0.9853,0.0147,0.6152,37.8382,68,6,126,132.6850
remult/remult,TypeScript,H,5,0.6076,54,108,0.2381,67,0.0325,0.9853,0.0147,0.6152,37.8382,68,6,126,132.6850
remult/remult,TypeScript,H,10,0.6816,65,108,0.2012,67,0.0586,0.9853,0.0147,0.6152,37.8382,68,6,126,132.6850
remult/remult,TypeScript,HMAX,1,0.4141,32,108,0.4776,67,0.0074,0.9853,0.0147,0.5610,37.8382,68,6,126,132.6850
remult/remult,TypeScript,HMAX,3,0.5077,41,108,0.2587,67,0.0205,0.9853,0.0147,0.5610,37.8382,68,6,126,132.6850
